comment_id,komentar,normalized_text,clean_text,token_count
111,"Sesungguhnya kehidupan dunia ini hanyalah panggung sandiwara dan setiap manusia (tubuh jasmani) menjalankan peran sesuai dengan ketetapan yang tertulis di kitab takdir (Lauhul Mahfud). Setiap manusia harus sadar bahwa diri sejatinya bukanlah tubuh jasmani beserta akal pikiran dan perasaannya melainkan Aku. Siapakah Aku? 
""Sesungguhnya Aku adalah Allah. Tidak ada Tuhan selain Aku maka sembahlah Aku dan dirikanlah shalat untuk mengingat Aku."" QS Thaha ayat 14.
Bila engkau berperan sebagai penyaksi (peran ruh) panggung permainan selama engkau menjalani kehidupan dunia maka engkau akan senantiasa bahagia dan tidak punya penderitaan.
Sebaliknya bila engkau berperan sebagai aktor pelaku di atas panggung (peran tubuh jasmani beserta akal pikiran dan perasaannya), maka engkau akan selalu menghadapi berbagai masalah dan derita.
Semoga melalui kesulitan yang dialami oleh tubuh jasmani beserta akal pikiran dan perasaannya, Nadiem dapat kembali ingat siapa diri sejatinya.
                    Salam ENJOY ❤❤❤",sesungguhnya kehidupan dunia ini hanyalah panggung sandiwara dan setiap manusia tubuh jasmani menjalankan peran sesuai dengan ketetapan yang tertulis di kitab takdir lauhul mahfud setiap manusia harus sadar bahwa diri sejatinya bukanlah tubuh jasmani beserta akal pikiran dan perasaannya melainkan aku siapakah aku sesungguhnya aku adalah allah tidak ada tuhan selain aku maka sembahlah aku dan dirikanlah shalat untuk mengingat aku qs thaha ayat bila engkau berperan sebagai penyaksi peran ruh panggung permainan selama engkau menjalani kehidupan dunia maka engkau akan senantiasa bahagia dan tidak punya penderitaan sebaliknya bila engkau berperan sebagai aktor pelaku di atas panggung peran tubuh jasmani beserta akal pikiran dan perasaannya maka engkau akan selalu menghadapi berbagai masalah dan derita semoga melalui kesulitan yang dialami oleh tubuh jasmani beserta akal pikiran dan perasaannya nadiem dapat kembali ingat siapa diri sejatinya salam enjoy,sungguh hidup dunia panggung sandiwara manusia tubuh jasmani jalan peran sesuai tetap tulis kitab takdir lauhul mahfud manusia sadar diri sejati bukan tubuh jasmani akal pikir asa aku siapa aku sungguh aku allah tuhan aku sembah aku diri shalat ingat aku thaha ayat bila engkau peran saksi peran ruh panggung main lama engkau jalan hidup dunia engkau senantiasa bahagia punya derita balik bila engkau peran aktor laku atas panggung peran tubuh jasmani akal pikir asa engkau selalu hadap bagai masalah derita moga lalu sulit alami tubuh jasmani akal pikir asa nadiem ingat siapa diri sejati salam enjoy,97
112,Mengalir ke yg nyuruhnya dn kita tau siapa dia makanya dia bikin partai dn berlimpah uang .biadab pak Nadim JD tumbal keluarga itu.,mengalir ke yg nyuruhnya dn kita tau siapa dia makanya dia bikin partai dn berlimpah uang biadab pak nadim jd tumbal keluarga itu,alir nyuruhnya tahu siapa makanya bikin partai limpah uang biadab pak nadim jadi tumbal keluarga,15
113,"Penyesalan Nadim yg akan diingat seumur hidupnya adalah kesalahan terbesar saat menerima tawaran menjadi menteri......

Maka jgn heran jika kedepannya akan banyak orang terdidik ,orang pintar yg akan pindah kewarganegaraan mengabdikan dirinya di luar negri...",penyesalan nadim yg akan diingat seumur hidupnya adalah kesalahan terbesar saat menerima tawaran menjadi menteri maka jgn heran jika kedepannya akan banyak orang terdidik orang pintar yg akan pindah kewarganegaraan mengabdikan dirinya di luar negri,sesal nadim ingat umur hidup salah besar terima tawar jadi menteri jgn heran depan banyak orang didik orang pintar pindah kewarganegaraan abdi diri luar negri,25
114,Edan,edan,edan,1
115,Hukum bobrok sebobrok-bobroknya... 😢,hukum bobrok sebobrok bobroknya,hukum bobrok bobrok bobrok,4
116,Yg kaya hakim jaksa nya 😂😂😂,yg kaya hakim jaksa nya,kaya hakim jaksa,3
117,Udah bener di Gojek pake jadi menteri Pak🫣,udah bener di gojek pake jadi menteri pak,udah bener gojek pake jadi menteri pak,7
118,Kalo nadim mmang salah saya rela nadim dihukum tapi klo nadim mmang ga bersalah demi alloh kudoakan orang yg dzolim semoga mulutnya ga bisa makan Apapun. Amiin,kalo nadim mmang salah saya rela nadim dihukum tapi klo nadim mmang ga bersalah demi alloh kudoakan orang yg dzolim semoga mulutnya ga bisa makan apapun amiin,kalo nadim mmang salah rela nadim hukum klo nadim mmang salah alloh doa orang dzolim moga mulut makan apa amiin,20
119,Saya kira ini doa para ojol... yg potongannya gila gilaan... 😅,saya kira ini doa para ojol yg potongannya gila gilaan,kira doa ojol potong gila gila,6
120,Sepertinya ada pesanan penjara dari seseorang yang rakus kekuasaan dan harta dunia,sepertinya ada pesanan penjara dari seseorang yang rakus kekuasaan dan harta dunia,pesan penjara orang rakus kuasa harta dunia,7
121,Parah klo hukum kek bgni smnjak jokowi prabowo,parah klo hukum kek bgni smnjak jokowi prabowo,parah klo hukum kek bgni smnjak jokowi prabowo,8
122,HiduP JokoWi !!!,hidup jokowi,hidup jokowi,2
123,"Pertanyaannya kenapa koruptor yg lain belum ada yg disuruh mengganti uang yg di korupsinya,,",pertanyaannya kenapa koruptor yg lain belum ada yg disuruh mengganti uang yg di korupsinya,tanya koruptor suruh ganti uang korupsi,6
124,"Kalau Mantan kepala BGN, pasti dihukum ringan dendanya rakyat yg bayar",kalau mantan kepala bgn pasti dihukum ringan dendanya rakyat yg bayar,kalau mantan kepala bgn hukum ringan denda rakyat bayar,9
125,"Kebenaran pasti akan menang 
Semangat pak nadim
💪💪💪",kebenaran pasti akan menang semangat pak nadim,benar menang semangat pak nadim,5
126,Atasanya Bang Nadiem yg harusnya Di adilin..,atasanya bang nadiem yg harusnya di adilin,atasanya bang nadiem adilin,4
127,Semua ini gara gara DPR semua kacau berau,semua ini gara gara dpr semua kacau berau,semua gara gara dpr semua kacau rau,7
128,Up,up,,0
129,Indonesia udah di ambang kehancuran,indonesia udah di ambang kehancuran,indonesia udah ambang hancur,4
130,809 : buat di bagibagi si tukang fitnah .. jngan dibayar mas,buat di bagibagi si tukang fitnah jngan dibayar mas,buat bagibagi tukang fitnah jngan bayar mas,7
131,"Makanya jangan korupsi,, kan ente ikutan juga sama wiwi dan konco2nya yg nge back up mana mungkin gak terlibat,, tarik semua jeblosin yg terlibat,, sign dan approval kan pasti melalui ente yg kagak2 aja lah,, giliran suruh ganti uang kelojotan,, 😂😂 pejabat konoha yg korupsi enaknya kita lelepin ke sumur sampe mati 😂😂",makanya jangan korupsi kan ente ikutan juga sama wiwi dan konco nya yg nge back up mana mungkin gak terlibat tarik semua jeblosin yg terlibat sign dan approval kan pasti melalui ente yg kagak aja lah giliran suruh ganti uang kelojotan pejabat konoha yg korupsi enaknya kita lelepin ke sumur sampe mati,makanya jangan korupsi kan ente ikut sama wiwi konco nge back mana mungkin libat tarik semua jeblosin libat sign approval kan lalu ente kagak lah gilir suruh ganti uang kelojot jabat konoha korupsi enak lelepin sumur sampe mati,38
132,"Ngeriiii bos... beginilah dibirokrasi, banyak nadiem nadiem lain yg dibginikan di birokrasi. Mmg parah... semoga makin baik. 
Bangkit Indonesiaku",ngeriiii bos beginilah dibirokrasi banyak nadiem nadiem lain yg dibginikan di birokrasi mmg parah semoga makin baik bangkit indonesiaku,ngeri bos begini birokrasi banyak nadiem nadiem dibginikan birokrasi mmg parah moga makin baik bangkit indonesia,16
133,Politik adu domba,politik adu domba,politik adu domba,3
134,Apes awakmu nadiem seng sabar ya awakmu org bener kok,apes awakmu nadiem seng sabar ya awakmu org bener kok,apes awak nadiem seng sabar awak orang bener kok,9
135,"Sabar pak 
Jika anda terzolimi 
Biar waktu yg mnjwab 
Dan mereka tidak akan hidup abadi 

Semua ada tanggung jwab diakhirat",sabar pak jika anda terzolimi biar waktu yg mnjwab dan mereka tidak akan hidup abadi semua ada tanggung jwab diakhirat,sabar pak terzolimi biar waktu mnjwab hidup abadi semua tanggung jwab akhirat,12
136,Hukum di Indonesia sangat amburadul,hukum di indonesia sangat amburadul,hukum indonesia sangat amburadul,4
137,Uangnya di di titipkn kepada pembantu😢😢😢,uangnya di di titipkn kepada pembantu,uang titipkn bantu,3
138,Kata prabowo hidup jokowi,kata prabowo hidup jokowi,kata prabowo hidup jokowi,4
139,ini lah konoha ..,ini lah konoha,lah konoha,2
140,"Karma tidak bisa di wakilkan 
Semua ada saatnya bang...
Ke Adilan pasti datang",karma tidak bisa di wakilkan semua ada saatnya bang ke adilan pasti datang,karma wakil semua bang adil datang,6
141,"Ini adalah awal mula , pencetusnya demonstrasi besar-besaran. Buktikan saja",ini adalah awal mula pencetusnya demonstrasi besar besaran buktikan saja,awal mula cetus demonstrasi besar besar bukti,7
142,jelass serem banget Lo....penuntut umum itu bsk masuk neraka paleng pertama dan paleng dalam.......,jelass serem banget lo penuntut umum itu bsk masuk neraka paleng pertama dan paleng dalam,jelass rem tuntut umum bsk masuk neraka paleng pertama paleng,10
143,Yg zolim terhadap nya hidup nya biar seperti mumi,yg zolim terhadap nya hidup nya biar seperti mumi,zolim hidup biar mumi,4
144,Lah yg lain ko cuma 4 tahun..,lah yg lain ko cuma tahun,lah cuma tahun,3
145,Korban Jokowi,korban jokowi,korban jokowi,2
146,Klo ketua mbg wajar 15th,klo ketua mbg wajar th,klo ketua mbg wajar,4
147,NADIEM Didzalimi dan ditumbalkan jokowi,nadiem didzalimi dan ditumbalkan jokowi,nadiem didzalimi tumbal jokowi,4
148,"Suaminya Sandra dewi ngak begitu cara mengadili nya.... Kenapa di bedakan, korupsi timah merugikan negara 300T,, kenapa tdk mendapat hukuman yg lebih sulit,,, aneh prabowo ini ,, 😢😢",suaminya sandra dewi ngak begitu cara mengadili nya kenapa di bedakan korupsi timah merugikan negara t kenapa tdk mendapat hukuman yg lebih sulit aneh prabowo ini,suami sandra dewi cara adil beda korupsi timah rugi negara hukum lebih sulit aneh prabowo,15
149,jokowi mana jokowi,jokowi mana jokowi,jokowi mana jokowi,3
150,"Bener2 lu jdi CEO gojek...malah lu lepas... Aduhhh anak negeri pada gila jabatan.. KLO GX PNS GX keren..wkakkwkw..

Lu tuntun balik Jokowi.. minta tanggung jawab sama atasan lu dlu.. kambing hitam Jokowi. Jokowi kaya raya.. GX ada yg berani mengkorek hasil kekayaannya",bener lu jdi ceo gojek malah lu lepas aduhhh anak negeri pada gila jabatan klo gx pns gx keren wkakkwkw lu tuntun balik jokowi minta tanggung jawab sama atasan lu dlu kambing hitam jokowi jokowi kaya raya gx ada yg berani mengkorek hasil kekayaannya,bener jadi ceo gojek malah lepas aduhh anak negeri gila jabat klo pns keren wkakkwkw tuntun balik jokowi minta tanggung jawab sama atas dlu kambing hitam jokowi jokowi kaya raya berani korek hasil kaya,34
151,"Parah orNg yg bner dipenjara tanpa bukti ,silver yg Uda jls"" slh bebas",parah orng yg bner dipenjara tanpa bukti silver yg uda jls slh bebas,parah orng bner penjara bukti silver uda jls slh bebas,10
152,😢😢 semoga kebenaran terungkap,semoga kebenaran terungkap,moga benar ungkap,3
153,15 tahun penjara yach total,tahun penjara yach total,tahun penjara yach total,4
154,"Trus kalau uang pengganti d bayar... Akan, d bawa kmn...??? 😅😅😅😅",trus kalau uang pengganti d bayar akan d bawa kmn,trus kalau uang ganti bayar bawa kmn,7
155,Tau gitu pa Nadiem ga usah ikut jadi menterinya.......,tau gitu pa nadiem ga usah ikut jadi menterinya,tahu gitu nadiem usah ikut jadi menteri,7
156,Nadiem juga banyak dosa kebijakan yg buat Indonesia pendidikannya ancur sampai saat ini... nodo amat ma korupsi nya,nadiem juga banyak dosa kebijakan yg buat indonesia pendidikannya ancur sampai saat ini nodo amat ma korupsi nya,nadiem banyak dosa bijak buat indonesia didik ancur nodo korupsi,10
157,Makanya terang2 Ngan aja mang,makanya terang ngan aja mang,makanya terang ngan mang,4
158,Doa 200 juta rakyat ini akan segera terkabul untuk negara dzolim ini😢,doa juta rakyat ini akan segera terkabul untuk negara dzolim ini,doa juta rakyat segera kabul negara dzolim,7
159,Zolim sekali..😢 tidak sesuai,zolim sekali tidak sesuai,zolim sekali sesuai,3
160,"Sampai detik ini masih belum ada tr4gedi apa apa.
Klo diluar mungkin 70% sudah m*ti itu pej4b4t2.
Kok ada ya rakyat sesabar ini 🤣",sampai detik ini masih belum ada tr gedi apa apa klo diluar mungkin sudah m ti itu pej b t kok ada ya rakyat sesabar ini,detik gedi apa apa klo luar mungkin pej kok rakyat sabar,11
161,"Perlu dicatat, dia pemilik dan pendiri ""raks4sa"" goj3k.
Dan para pej4b4d bej4d berusaha mengakuisisi dan m3r4mp4s itu dari sang pemilik.
Salah satunya dgn cara ini",perlu dicatat dia pemilik dan pendiri raks sa goj k dan para pej b d bej d berusaha mengakuisisi dan m r mp s itu dari sang pemilik salah satunya dgn cara ini,perlu catat milik diri raks goj pej bej usaha akuisisi sang milik salah satu cara,15
162,"Yaa Allah.. Pengadilan jahat.. Indonesia semakin amburadul.. Anak bangsa berbakat ternyata dijadikan tumbal.. 
Rakyat kesal... Sementara para pejabat  ber dasi putih di birokrasi..mencuri dng mudah nya .. Tampa merasa bersalah.. 
Indonesia sarang korupsi yg menuduh anak bawang menjadi tumbal.. 
Rakyat menanti keadilan",yaa allah pengadilan jahat indonesia semakin amburadul anak bangsa berbakat ternyata dijadikan tumbal rakyat kesal sementara para pejabat ber dasi putih di birokrasi mencuri dng mudah nya tampa merasa bersalah indonesia sarang korupsi yg menuduh anak bawang menjadi tumbal rakyat menanti keadilan,yaa allah adil jahat indonesia makin amburadul anak bangsa bakat nyata jadi tumbal rakyat kesal jabat ber dasi putih birokrasi curi dng mudah tampa rasa salah indonesia sarang korupsi tuduh anak bawang jadi tumbal rakyat adil,36
163,"Salahnyabkenapa dulu mao maoann ajah di kasih jabatan mentri sama jokowi...ternyata cuman cari masa karna punya masa gojek...ujungnya hanya dibjadikan tumbal kekuasaan sama jokowi...sekarang liat apa pembelaan jokowi buat nadim...
Andai ajah waktubitu tetap di gojek mungkin ga akan seperti sekarang...",salahnyabkenapa dulu mao maoann ajah di kasih jabatan mentri sama jokowi ternyata cuman cari masa karna punya masa gojek ujungnya hanya dibjadikan tumbal kekuasaan sama jokowi sekarang liat apa pembelaan jokowi buat nadim andai ajah waktubitu tetap di gojek mungkin ga akan seperti sekarang,salahnyabkenapa dulu mao maoann ajah kasih jabat tri sama jokowi nyata cuman cari masa punya masa gojek ujung dibjadikan tumbal kuasa sama jokowi sekarang liat apa bela jokowi buat nadim andai ajah waktubitu tetap gojek mungkin sekarang,37
164,dzolim.. siap² menuju kehancuran suatu negara,dzolim siap menuju kehancuran suatu negara,dzolim siap tuju hancur suatu negara,6
165,Mukanya memang jujur Allahu Akbar,mukanya memang jujur allahu akbar,muka memang jujur allahu akbar,5
166,Kalo orang itu benar tidak korupsi maka Belio tidak akan kena hukuman.,kalo orang itu benar tidak korupsi maka belio tidak akan kena hukuman,kalo orang benar korupsi belio kena hukum,7
167,Kacau banget negara ini. Penegak hukumnya main2in hukum.,kacau banget negara ini penegak hukumnya main in hukum,kacau negara tegak hukum main hukum,6
168,Penasaran Dadan di vonis brp dan ganti rugi brp...,penasaran dadan di vonis brp dan ganti rugi brp,penasaran dad vonis brp ganti rugi brp,7
169,Jangan kasih ke Perampok,jangan kasih ke perampok,jangan kasih rampok,3
170,"Jika bapak nadirmin merasa yakin tdk salah.. Serahkan sama Tuhan saja pak... Pasti mereka akan Terima hukuman yang dari Tuhan... Saya yakin pak.. Bapak tdk sejahat itu.. Sy do'akan ya pak.. Siapa yg lebih dulu dijemput malaikat maut.. 
Saksikan saja pak.. GBU.. ❤❤❤❤❤❤❤❤❤❤",jika bapak nadirmin merasa yakin tdk salah serahkan sama tuhan saja pak pasti mereka akan terima hukuman yang dari tuhan saya yakin pak bapak tdk sejahat itu sy do akan ya pak siapa yg lebih dulu dijemput malaikat maut saksikan saja pak gbu,bapak nadirmin rasa yakin salah serah sama tuhan pak terima hukum tuhan yakin pak bapak jahat pak siapa lebih dulu jemput malaikat maut saksi pak gbu,26
171,"Gilaa...!!! Astagfirulloh....
Kasian jadi TUMBAL Pak Nadiem Makarim..., di ZHOLIMI... Yaa Alloh..Astagfirulloh...
Uang Pengganti kok
809 Milyard.....??!!  
Cari uang seratus ribu aja susaaahhh..., yg Pengangguran seperti saya...",gilaa astagfirulloh kasian jadi tumbal pak nadiem makarim di zholimi yaa alloh astagfirulloh uang pengganti kok milyard cari uang seratus ribu aja susaaahhh yg pengangguran seperti saya,gilaa astagfirulloh kasi jadi tumbal pak nadiem makarim zholimi yaa alloh astagfirulloh uang ganti kok milyard cari uang ratus ribu susaahh anggur,22
172,Alhamdulillah semoga kedepan indonesia terbebas dari para koruptor... Dan pak nadim moga cept bertaubat contohlah angelina sondak..,alhamdulillah semoga kedepan indonesia terbebas dari para koruptor dan pak nadim moga cept bertaubat contohlah angelina sondak,alhamdulillah moga depan indonesia bebas koruptor pak nadim moga cept taubat contoh angelina sondak,14
173,"Maka yg terjadi kedepan, orang orang baik yg berkopeten tidak akan mau mengabdi untuk negara... 
Yg serakah akan membanjiri jabatan dipemerintahan",maka yg terjadi kedepan orang orang baik yg berkopeten tidak akan mau mengabdi untuk negara yg serakah akan membanjiri jabatan dipemerintahan,jadi depan orang orang baik berkopeten mau abdi negara serakah banjir jabat perintah,13
174,"Dan uang itu di rencanakan lari kemana ya, jika terbayar.",dan uang itu di rencanakan lari kemana ya jika terbayar,uang rencana lari bayar,4
175,koruptor pintar ekting.hukum mati biar kapok,koruptor pintar ekting hukum mati biar kapok,koruptor pintar ekting hukum mati biar kapok,7
176,Pak nadiem ....apa sdh ngomong uang itu beredar di Jokowi n luhut,pak nadiem apa sdh ngomong uang itu beredar di jokowi n luhut,pak nadiem apa ngomong uang edar jokowi luhut,8
177,"Hadirkan Jokowi dipersidangan. Setiap sidang kasus korupsi slalu tersebut namanya. Ingat pak hakim, pak jaksa, pak penyidik. Ust Das'ad bilang bahwa kalian bisa lolos pengadilan dunia, tp kalian tdk akan bisa lolos pengadilan akhirat. Aamiin..",hadirkan jokowi dipersidangan setiap sidang kasus korupsi slalu tersebut namanya ingat pak hakim pak jaksa pak penyidik ust das ad bilang bahwa kalian bisa lolos pengadilan dunia tp kalian tdk akan bisa lolos pengadilan akhirat aamiin,hadir jokowi sidang sidang kasus korupsi slalu sebut nama ingat pak hakim pak jaksa pak sidik ust das bilang kalian lolos adil dunia kalian lolos adil akhirat aamiin,28
178,Kasian jg jd tumbal krn big bos sdh gak takut Tuhan,kasian jg jd tumbal krn big bos sdh gak takut tuhan,kasi jadi tumbal big bos takut tuhan,7
179,"Orang yg mampu menciptakan lapangan kerja ribuan orang kok gak dihargai sama sekali
Dasar negara dengan pemimpin yg biadab",orang yg mampu menciptakan lapangan kerja ribuan orang kok gak dihargai sama sekali dasar negara dengan pemimpin yg biadab,orang mampu cipta lapang kerja ribu orang kok harga sama sekali dasar negara pimpin biadab,15
180,"aku kasihan sama pak Nadiem, semoga sabar menghadapinya dan sehat selalu",aku kasihan sama pak nadiem semoga sabar menghadapinya dan sehat selalu,aku kasihan sama pak nadiem moga sabar hadap sehat selalu,10
181,Insyaallah Allah akan memberikan jalan....,insyaallah allah akan memberikan jalan,insyaallah allah beri jalan,4
182,Kita liat aja netizen si Dadan cs di hukum berapa tahun denda berapa kalw lebih ringan dari pak Nadiem demo,kita liat aja netizen si dadan cs di hukum berapa tahun denda berapa kalw lebih ringan dari pak nadiem demo,liat netizen dad hukum berapa tahun denda berapa kalw lebih ringan pak nadiem demo,14
183,Yg triliunan dendanya gak segitu...sabar ya pa Nadiem namanya juga negara Konoha ...tahu begitu mending jadi pengusaha gojek gak hrs banyak tuntutan,yg triliunan dendanya gak segitu sabar ya pa nadiem namanya juga negara konoha tahu begitu mending jadi pengusaha gojek gak hrs banyak tuntutan,triliun denda segitu sabar nadiem nama negara konoha tahu mending jadi usaha gojek hrs banyak tuntut,16
184,Innalillahi... Biadaaabbbb... !!! Pengadilan sesattt....!,innalillahi biadaaabbbb pengadilan sesattt,innalillahi biadaabb adil sesatt,4
185,"Hukum harus berat buat korupsi, coba liat masyarakat yang di bawah",hukum harus berat buat korupsi coba liat masyarakat yang di bawah,hukum berat buat korupsi coba liat masyarakat bawah,8
186,"Yg pinter bisa ditipu oleh yg tolol,,,, bukan si tolol hebat,,,, tp banyak tolol-tolol lain yg memiliki satu ambisi....",yg pinter bisa ditipu oleh yg tolol bukan si tolol hebat tp banyak tolol tolol lain yg memiliki satu ambisi,pinter tipu tolol bukan tolol hebat banyak tolol tolol milik satu ambisi,12
187,Astagfirullohaladzim...semiga Bpk Nadiem sehat selalu dan cepat ada mujijat dari Alloh swt atas keshabaran dan keridoannya memberi ilmu kepada generasi Anak2 muda 🤲🤲🤲🤲😭😭😭😭,astagfirullohaladzim semiga bpk nadiem sehat selalu dan cepat ada mujijat dari alloh swt atas keshabaran dan keridoannya memberi ilmu kepada generasi anak muda,astagfirullohaladzim semiga bapak nadiem sehat selalu cepat mujijat alloh swt atas keshabaran keridoannya beri ilmu generasi anak muda,18
188,Jebakan betmen sebut aja bang sebut aja anda di jebak jokowi,jebakan betmen sebut aja bang sebut aja anda di jebak jokowi,jebak betmen sebut bang sebut jebak jokowi,7
189,"Turut prihatin pak Nadiem. Namun apadaya apa yang bisa kami bantu, hanya do'a semoga Allah Subhanahu Wataalah menunjukkan kebenaranNya .",turut prihatin pak nadiem namun apadaya apa yang bisa kami bantu hanya do a semoga allah subhanahu wataalah menunjukkan kebenarannya,turut prihatin pak nadiem apadaya apa bantu moga allah subhanahu wataalah tunjuk benar,13
190,"Turut prihatin pak Nadiem. Namun apadaya apa yang bisa kami bantu, hanya do'a semoga Allah Subhanahu Wataalah menunjukkan kebenaranNya .",turut prihatin pak nadiem namun apadaya apa yang bisa kami bantu hanya do a semoga allah subhanahu wataalah menunjukkan kebenarannya,turut prihatin pak nadiem apadaya apa bantu moga allah subhanahu wataalah tunjuk benar,13
191,singguh zalim kekuasaan saat ini terlalu duniawi hingga sering kali melakukan hal hal hina. ingat pengadilan tertinggi adalah kuasanya. siapa menanam akan memetik hasilnya siapa berbuat akan menaggung pembalasanya kelak nauzubillah,singguh zalim kekuasaan saat ini terlalu duniawi hingga sering kali melakukan hal hal hina ingat pengadilan tertinggi adalah kuasanya siapa menanam akan memetik hasilnya siapa berbuat akan menaggung pembalasanya kelak nauzubillah,singguh zalim kuasa terlalu duniawi hingga sering kali laku hina ingat adil tinggi kuasa siapa tanam petik hasil siapa buat menaggung pembalasanya kelak nauzubillah,24
192,Tumbal Mulyono 😮,tumbal mulyono,tumbal mulyono,2
193,wong solo di lawan,wong solo di lawan,wong solo lawan,3
194,mka y dulu klu programen jngn sok pinter mas..anak belajae i line sya harus beli hp...masih ingt z,mka y dulu klu programen jngn sok pinter mas anak belajae i line sya harus beli hp masih ingt z,mka dulu klu programen jngn sok pinter mas anak belajae line sya beli ingt,14
195,Hakim2 yang dzalim semoga segera dilaknat didunia dan akhirat,hakim yang dzalim semoga segera dilaknat didunia dan akhirat,hakim dzalim moga segera laknat dunia akhirat,7
196,Siapa siih sebenarnya aktor yang begitu zolim?,siapa siih sebenarnya aktor yang begitu zolim,siapa siih benar aktor zolim,5
197,Hidup jokowi,hidup jokowi,hidup jokowi,2
198,Dia cerdas visioner tpi dia membuat kesalahan dgn masuk kabinetnya jokowi,dia cerdas visioner tpi dia membuat kesalahan dgn masuk kabinetnya jokowi,cerdas visioner tpi buat salah masuk kabinet jokowi,8
199,Para penjahat itu ga inget mati!!!,para penjahat itu ga inget mati,jahat inget mati,3
200,"Miris Melihat Hukum di Indonesia...??...,   Gampang merangkai Fitnah...??...    Drama Pengadilan....??.... 😂😂😂😂",miris melihat hukum di indonesia gampang merangkai fitnah drama pengadilan,miris lihat hukum indonesia gampang rangkai fitnah drama adil,9
201,"Terlanjur pak Nadim, kalo waktu bisa di putar kembali pasti gak Sudi jadi menri",terlanjur pak nadim kalo waktu bisa di putar kembali pasti gak sudi jadi menri,lanjur pak nadim kalo waktu putar sudi jadi menri,9
202,Aamiin 🤲,aamiin,aamiin,1
203,Salah dukung bosi,salah dukung bosi,salah dukung bos,3
204,Mulyono lagi mulyoni lagi,mulyono lagi mulyoni lagi,mulyono mulyoni,2
205,Epek ikut jd timses jkowi,epek ikut jd timses jkowi,epek ikut jadi timses jkowi,5
206,Jokowi penghancur bangsa meninggalkan sayembara ijazah,jokowi penghancur bangsa meninggalkan sayembara ijazah,jokowi hancur bangsa tinggal sayembara ijazah,6
207,"Kasian pak nadim dibuat kambing hitam dan peralihan isu publik program mbg,,, 😢 yah ALLAH beta sulitnya jadi orang baik dikonoha,,, 😭😭😭",kasian pak nadim dibuat kambing hitam dan peralihan isu publik program mbg yah allah beta sulitnya jadi orang baik dikonoha,kasi pak nadim buat kambing hitam alih isu publik program mbg yah allah beta sulit jadi orang baik dikonoha,19
208,"Sy berfikir,  Setega itukah orang yg menumbalkanya,  apakah mereka agama,  tidak kah berfikir dunia bukan segalanya, pengadilan akherat menanti",sy berfikir setega itukah orang yg menumbalkanya apakah mereka agama tidak kah berfikir dunia bukan segalanya pengadilan akherat menanti,berfikir tega orang menumbalkanya agama berfikir dunia bukan segala adil akherat,11
209,"Nadim makarim sdh ciptakan lapangan kerja 
sdh banyak rakyat yg tertolong hidup kluarganya , dgn menjadi ojol 
makanya di buat seperti itu.
Indonesiakuu ada apa ? 
bgmn dgn koruptor yg menikmati uang negri ini tanpa memikirkan kehidupan rakyatnya ???
Ada apa ?",nadim makarim sdh ciptakan lapangan kerja sdh banyak rakyat yg tertolong hidup kluarganya dgn menjadi ojol makanya di buat seperti itu indonesiakuu ada apa bgmn dgn koruptor yg menikmati uang negri ini tanpa memikirkan kehidupan rakyatnya ada apa,nadim makarim cipta lapang kerja banyak rakyat hidup kluarganya jadi ojol makanya buat indonesiakuu apa bgmn koruptor nikmat uang negri pikir hidup rakyat apa,24
210,Korban dari Mulyono.,korban dari mulyono,korban mulyono,2
211,😢edan ini sudah,edan ini sudah,edan,1
212,buka aja boss..sapa yg meminta anda utk transit uang itu..pasti ada yg nyuruh lah..,buka aja boss sapa yg meminta anda utk transit uang itu pasti ada yg nyuruh lah,buka boss sapa minta transit uang nyuruh lah,8
213,"Semoga putusan pengadilan, adalah suatu kebenaran. Hukum orang yg salah dan bebaskan orang yg benar",semoga putusan pengadilan adalah suatu kebenaran hukum orang yg salah dan bebaskan orang yg benar,moga putus adil suatu benar hukum orang salah bebas orang benar,11
214,Si Jokowo kmn ?,si jokowo kmn,jokowo kmn,2
215,Inilah politik di konoha. Anda berjalan lurus sesuai perintah aja bisa jadi tersangka. Q,inilah politik di konoha anda berjalan lurus sesuai perintah aja bisa jadi tersangka q,politik konoha jalan lurus sesuai perintah jadi sangka,8
216,"enak2 jadi bos gojek..
lha ya kok mau dijadikan mentri...
Sukses tak dipuji 
Salah kebijakan masuk bui",enak jadi bos gojek lha ya kok mau dijadikan mentri sukses tak dipuji salah kebijakan masuk bui,enak jadi bos gojek lha kok mau jadi tri sukses tak puji salah bijak masuk bui,16
217,Negara penjahat kepada rakyat melalui kejaksaan agung  dengan mapia peradilannya. Sermoga dijahkan dari surga dan maduk metaka jahanam,negara penjahat kepada rakyat melalui kejaksaan agung dengan mapia peradilannya sermoga dijahkan dari surga dan maduk metaka jahanam,negara jahat rakyat lalu jaksa agung mapia adil sermoga jah surga maduk metaka jahanam,14
