comment_id,komentar,normalized_text,clean_text,token_count,topic_id,topic_confidence,cluster_id,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob
87,"Ya bongkar lah semuaa
Masa sudah tersudut masih belum dibuka😅",ya bongkar lah semuaa masa sudah tersudut masih belum dibuka,bongkar lah semuaa masa sudut buka,6,1,0.6889,9,0.0222,0.6889,0.0222,0.2444,0.0222
88,"Kau kn Mentri 
Kasus besar GK mungkin hakim aneh2 zolim 
Kecuali Jokowi berkuasa",kau kn mentri kasus besar gk mungkin hakim aneh zolim kecuali jokowi berkuasa,kau tri kasus besar mungkin hakim aneh zolim jokowi kuasa,10,0,0.5368,15,0.5368,0.0105,0.3263,0.0105,0.1158
89,"Di jadiin kambing hitam oleh negara sendiri, sementara pelaku yg sebenar'a bebas berkeliaran merasakan uang itu ..
Sungguh mengerikan sekali",di jadiin kambing hitam oleh negara sendiri sementara pelaku yg sebenar a bebas berkeliaran merasakan uang itu sungguh mengerikan sekali,jadiin kambing hitam negara sendiri laku benar bebas liar rasa uang sungguh keri sekali,14,0,0.568,19,0.568,0.248,0.008,0.168,0.008
90,Konoha konoha,konoha konoha,konoha konoha,2,3,0.84,8,0.04,0.04,0.04,0.84,0.04
91,Ldbih bahagia mnnji pengusha sj,ldbih bahagia mnnji pengusha sj,ldbih bahagia mnnji pengusha,4,1,0.7333,45,0.0667,0.7333,0.0667,0.0667,0.0667
92,"Jika benar fakta ni , berat km di kambing hitamkan .",jika benar fakta ni berat km di kambing hitamkan,benar fakta berat kambing hitam,5,0,0.9273,32,0.9273,0.0182,0.0182,0.0182,0.0182
93,"akan ada ke ajaiban pa nadiem, tenang saja,rakyat indonesia udah tau ko,semangat merdeka",akan ada ke ajaiban pa nadiem tenang saja rakyat indonesia udah tau ko semangat merdeka,ajaib nadiem tenang rakyat indonesia udah tahu semangat merdeka,9,0,0.4824,27,0.4824,0.1294,0.0118,0.3647,0.0118
94,Semoga semua kena KARMA,semoga semua kena karma,moga semua kena karma,4,0,0.9111,33,0.9111,0.0222,0.0222,0.0222,0.0222
95,Makanya KLO Uda jd pengusaha jgn mau di iming iming JD menteri atau pejabat di negeri ini...di buat tumbal di masukin penjara...sadis negeri ini pejabat nya kebanyakan penjahat,makanya klo uda jd pengusaha jgn mau di iming iming jd menteri atau pejabat di negeri ini di buat tumbal di masukin penjara sadis negeri ini pejabat nya kebanyakan penjahat,makanya klo uda jadi usaha jgn mau iming iming jadi menteri jabat negeri buat tumbal masukin penjara sadis negeri jabat banyak jahat,22,4,0.7231,7,0.0051,0.0051,0.0051,0.2615,0.7231
96,Ngeri,ngeri,ngeri,1,3,0.7333,5,0.0667,0.0667,0.0667,0.7333,0.0667
97,Terima saja siapa suruh mw menjabat,terima saja siapa suruh mw menjabat,terima siapa suruh jabat,4,4,0.4667,28,0.2444,0.2444,0.0222,0.0222,0.4667
98,"Enak gak pak jadi Mentri dijaman raja ngibul??
😂😂
Ampir smua Mentri loh dijebak,,dikasih kebebasan,dan akhirnya...
Yaaa tau sendiri
😂😂😂",enak gak pak jadi mentri dijaman raja ngibul ampir smua mentri loh dijebak dikasih kebebasan dan akhirnya yaaa tau sendiri,enak pak jadi tri jam raja ngibul ampir smua tri loh jebak kasih bebas akhir yaa tahu sendiri,18,4,0.4909,19,0.2485,0.2485,0.0061,0.0061,0.4909
99,"Kolekan ayo, gocap pertama ni buat Nadiem🖐️",kolekan ayo gocap pertama ni buat nadiem,kolek ayo gocap pertama buat nadiem,6,0,0.6889,40,0.6889,0.2444,0.0222,0.0222,0.0222
100,"Tuhan Maha Tahu , Allah SWT tidak tidur bencana akan datang untuk para penjahat",tuhan maha tahu allah swt tidak tidur bencana akan datang untuk para penjahat,tuhan maha tahu allah swt tidur bencana datang jahat,9,0,0.8353,12,0.8353,0.1294,0.0118,0.0118,0.0118
101,"Tidak selayakny hakim disbut 'yang mulia' atau 'wakil tuhan', terlalu memuji profesi. lebih baik dipanggil pak / bu hakim saja.. apalgi pd negara yg sdg penegakan hukumny 'bobrok'... ataukah memang karakter bangsa ini sebenarny memang 'bobrok' ??!!!",tidak selayakny hakim disbut yang mulia atau wakil tuhan terlalu memuji profesi lebih baik dipanggil pak bu hakim saja apalgi pd negara yg sdg penegakan hukumny bobrok ataukah memang karakter bangsa ini sebenarny memang bobrok,selayakny hakim disbut mulia wakil tuhan terlalu puji profesi lebih baik panggil pak hakim apalgi negara sdg tega hukumny bobrok memang karakter bangsa sebenarny memang bobrok,26,0,0.4629,30,0.4629,0.0629,0.0057,0.4629,0.0057
102,jahat banget subhanallah,jahat banget subhanallah,jahat subhanallah,2,1,0.7333,12,0.0667,0.7333,0.0667,0.0667,0.0667
103,Kena jebakan dewanya termul2 ... Nadiem hrs menanggung risikonya,kena jebakan dewanya termul nadiem hrs menanggung risikonya,kena jebak dewa termul nadiem hrs tanggung risiko,8,4,0.7846,40,0.1692,0.0154,0.0154,0.0154,0.7846
104,"Yg membela korupsi otaknya dimana.
Orang korupsi kok klarifikasi,gk malu..",yg membela korupsi otaknya dimana orang korupsi kok klarifikasi gk malu,bela korupsi otak orang korupsi kok klarifikasi malu,8,2,0.6308,31,0.0154,0.3231,0.6308,0.0154,0.0154
105,kelihatan tampang yang bukan korupsi.... dari muka aja sudah bisa terbaca tak perlu bukti,kelihatan tampang yang bukan korupsi dari muka aja sudah bisa terbaca tak perlu bukti,lihat tampang bukan korupsi muka baca tak perlu bukti,9,4,0.4133,16,0.0133,0.1467,0.1467,0.28,0.4133
106,Nadim jd tumbal,nadim jd tumbal,nadim jadi tumbal,3,4,0.8857,43,0.0286,0.0286,0.0286,0.0286,0.8857
107,LAKNATULLAH PARA PENGUASA & PARA PENGADILAN INDONESIA,laknatullah para penguasa para pengadilan indonesia,laknatullah kuasa adil indonesia,4,0,0.6,39,0.6,0.0286,0.0286,0.3143,0.0286
108,"Ingat para hakjm jgn membela yg salah, bsk anda  blom tau masih hidup, mulyono itu yg hrs di adili jg krn menjalankan perintah mulyono laknat itu.",ingat para hakjm jgn membela yg salah bsk anda blom tau masih hidup mulyono itu yg hrs di adili jg krn menjalankan perintah mulyono laknat itu,ingat hakjm jgn bela salah bsk blom tahu hidup mulyono hrs adil jalan perintah mulyono laknat,16,4,0.5586,24,0.4207,0.0069,0.0069,0.0069,0.5586
109,Ini Mentri lho.....   gimana Anda yang pengusaha kecil  atau pejabat rendah tingkat bupati ke bawah...  hahaha.. ngeri ya.,ini mentri lho gimana anda yang pengusaha kecil atau pejabat rendah tingkat bupati ke bawah hahaha ngeri ya,tri lho gimana usaha kecil jabat rendah tingkat bupati bawah ngeri,11,4,0.4824,5,0.0118,0.0118,0.1294,0.3647,0.4824
110,PEOPLE POWER !!!,people power,people power,2,0,0.2,45,0.2,0.2,0.2,0.2,0.2
111,"Sesungguhnya kehidupan dunia ini hanyalah panggung sandiwara dan setiap manusia (tubuh jasmani) menjalankan peran sesuai dengan ketetapan yang tertulis di kitab takdir (Lauhul Mahfud). Setiap manusia harus sadar bahwa diri sejatinya bukanlah tubuh jasmani beserta akal pikiran dan perasaannya melainkan Aku. Siapakah Aku? 
""Sesungguhnya Aku adalah Allah. Tidak ada Tuhan selain Aku maka sembahlah Aku dan dirikanlah shalat untuk mengingat Aku."" QS Thaha ayat 14.
Bila engkau berperan sebagai penyaksi (peran ruh) panggung permainan selama engkau menjalani kehidupan dunia maka engkau akan senantiasa bahagia dan tidak punya penderitaan.
Sebaliknya bila engkau berperan sebagai aktor pelaku di atas panggung (peran tubuh jasmani beserta akal pikiran dan perasaannya), maka engkau akan selalu menghadapi berbagai masalah dan derita.
Semoga melalui kesulitan yang dialami oleh tubuh jasmani beserta akal pikiran dan perasaannya, Nadiem dapat kembali ingat siapa diri sejatinya.
                    Salam ENJOY ❤❤❤",sesungguhnya kehidupan dunia ini hanyalah panggung sandiwara dan setiap manusia tubuh jasmani menjalankan peran sesuai dengan ketetapan yang tertulis di kitab takdir lauhul mahfud setiap manusia harus sadar bahwa diri sejatinya bukanlah tubuh jasmani beserta akal pikiran dan perasaannya melainkan aku siapakah aku sesungguhnya aku adalah allah tidak ada tuhan selain aku maka sembahlah aku dan dirikanlah shalat untuk mengingat aku qs thaha ayat bila engkau berperan sebagai penyaksi peran ruh panggung permainan selama engkau menjalani kehidupan dunia maka engkau akan senantiasa bahagia dan tidak punya penderitaan sebaliknya bila engkau berperan sebagai aktor pelaku di atas panggung peran tubuh jasmani beserta akal pikiran dan perasaannya maka engkau akan selalu menghadapi berbagai masalah dan derita semoga melalui kesulitan yang dialami oleh tubuh jasmani beserta akal pikiran dan perasaannya nadiem dapat kembali ingat siapa diri sejatinya salam enjoy,sungguh hidup dunia panggung sandiwara manusia tubuh jasmani jalan peran sesuai tetap tulis kitab takdir lauhul mahfud manusia sadar diri sejati bukan tubuh jasmani akal pikir asa aku siapa aku sungguh aku allah tuhan aku sembah aku diri shalat ingat aku thaha ayat bila engkau peran saksi peran ruh panggung main lama engkau jalan hidup dunia engkau senantiasa bahagia punya derita balik bila engkau peran aktor laku atas panggung peran tubuh jasmani akal pikir asa engkau selalu hadap bagai masalah derita moga lalu sulit alami tubuh jasmani akal pikir asa nadiem ingat siapa diri sejati salam enjoy,97,0,0.5063,1,0.5063,0.4883,0.0018,0.0018,0.0018
112,Mengalir ke yg nyuruhnya dn kita tau siapa dia makanya dia bikin partai dn berlimpah uang .biadab pak Nadim JD tumbal keluarga itu.,mengalir ke yg nyuruhnya dn kita tau siapa dia makanya dia bikin partai dn berlimpah uang biadab pak nadim jd tumbal keluarga itu,alir nyuruhnya tahu siapa makanya bikin partai limpah uang biadab pak nadim jadi tumbal keluarga,15,4,0.5259,28,0.0074,0.0074,0.2296,0.2296,0.5259
113,"Penyesalan Nadim yg akan diingat seumur hidupnya adalah kesalahan terbesar saat menerima tawaran menjadi menteri......

Maka jgn heran jika kedepannya akan banyak orang terdidik ,orang pintar yg akan pindah kewarganegaraan mengabdikan dirinya di luar negri...",penyesalan nadim yg akan diingat seumur hidupnya adalah kesalahan terbesar saat menerima tawaran menjadi menteri maka jgn heran jika kedepannya akan banyak orang terdidik orang pintar yg akan pindah kewarganegaraan mengabdikan dirinya di luar negri,sesal nadim ingat umur hidup salah besar terima tawar jadi menteri jgn heran depan banyak orang didik orang pintar pindah kewarganegaraan abdi diri luar negri,25,1,0.5628,3,0.0512,0.5628,0.0047,0.1907,0.1907
114,Edan,edan,edan,1,1,0.7333,45,0.0667,0.7333,0.0667,0.0667,0.0667
115,Hukum bobrok sebobrok-bobroknya... 😢,hukum bobrok sebobrok bobroknya,hukum bobrok bobrok bobrok,4,3,0.9111,38,0.0222,0.0222,0.0222,0.9111,0.0222
116,Yg kaya hakim jaksa nya 😂😂😂,yg kaya hakim jaksa nya,kaya hakim jaksa,3,0,0.6,30,0.6,0.0286,0.0286,0.0286,0.3143
117,Udah bener di Gojek pake jadi menteri Pak🫣,udah bener di gojek pake jadi menteri pak,udah bener gojek pake jadi menteri pak,7,4,0.8133,43,0.0133,0.1467,0.0133,0.0133,0.8133
118,Kalo nadim mmang salah saya rela nadim dihukum tapi klo nadim mmang ga bersalah demi alloh kudoakan orang yg dzolim semoga mulutnya ga bisa makan Apapun. Amiin,kalo nadim mmang salah saya rela nadim dihukum tapi klo nadim mmang ga bersalah demi alloh kudoakan orang yg dzolim semoga mulutnya ga bisa makan apapun amiin,kalo nadim mmang salah rela nadim hukum klo nadim mmang salah alloh doa orang dzolim moga mulut makan apa amiin,20,4,0.4629,13,0.4057,0.0629,0.0057,0.0629,0.4629
119,Saya kira ini doa para ojol... yg potongannya gila gilaan... 😅,saya kira ini doa para ojol yg potongannya gila gilaan,kira doa ojol potong gila gila,6,3,0.5636,11,0.2,0.0182,0.0182,0.5636,0.2
120,Sepertinya ada pesanan penjara dari seseorang yang rakus kekuasaan dan harta dunia,sepertinya ada pesanan penjara dari seseorang yang rakus kekuasaan dan harta dunia,pesan penjara orang rakus kuasa harta dunia,7,0,0.9273,17,0.9273,0.0182,0.0182,0.0182,0.0182
121,Parah klo hukum kek bgni smnjak jokowi prabowo,parah klo hukum kek bgni smnjak jokowi prabowo,parah klo hukum kek bgni smnjak jokowi prabowo,8,2,0.5636,13,0.0182,0.0182,0.5636,0.3818,0.0182
122,HiduP JokoWi !!!,hidup jokowi,hidup jokowi,2,2,0.44,41,0.04,0.04,0.44,0.44,0.04
123,"Pertanyaannya kenapa koruptor yg lain belum ada yg disuruh mengganti uang yg di korupsinya,,",pertanyaannya kenapa koruptor yg lain belum ada yg disuruh mengganti uang yg di korupsinya,tanya koruptor suruh ganti uang korupsi,6,2,0.9385,26,0.0154,0.0154,0.9385,0.0154,0.0154
124,"Kalau Mantan kepala BGN, pasti dihukum ringan dendanya rakyat yg bayar",kalau mantan kepala bgn pasti dihukum ringan dendanya rakyat yg bayar,kalau mantan kepala bgn hukum ringan denda rakyat bayar,9,2,0.6,27,0.0118,0.2471,0.6,0.1294,0.0118
125,"Kebenaran pasti akan menang 
Semangat pak nadim
💪💪💪",kebenaran pasti akan menang semangat pak nadim,benar menang semangat pak nadim,5,0,0.6889,32,0.6889,0.2444,0.0222,0.0222,0.0222
126,Atasanya Bang Nadiem yg harusnya Di adilin..,atasanya bang nadiem yg harusnya di adilin,atasanya bang nadiem adilin,4,2,0.44,40,0.04,0.04,0.44,0.04,0.44
127,Semua ini gara gara DPR semua kacau berau,semua ini gara gara dpr semua kacau berau,semua gara gara dpr semua kacau rau,7,0,0.4667,34,0.4667,0.0222,0.0222,0.0222,0.4667
128,Up,up,,0,0,0.2,45,0.2,0.2,0.2,0.2,0.2
129,Indonesia udah di ambang kehancuran,indonesia udah di ambang kehancuran,indonesia udah ambang hancur,4,3,0.6,45,0.0286,0.3143,0.0286,0.6,0.0286
130,809 : buat di bagibagi si tukang fitnah .. jngan dibayar mas,buat di bagibagi si tukang fitnah jngan dibayar mas,buat bagibagi tukang fitnah jngan bayar mas,7,1,0.5636,45,0.2,0.5636,0.2,0.0182,0.0182
131,"Makanya jangan korupsi,, kan ente ikutan juga sama wiwi dan konco2nya yg nge back up mana mungkin gak terlibat,, tarik semua jeblosin yg terlibat,, sign dan approval kan pasti melalui ente yg kagak2 aja lah,, giliran suruh ganti uang kelojotan,, 😂😂 pejabat konoha yg korupsi enaknya kita lelepin ke sumur sampe mati 😂😂",makanya jangan korupsi kan ente ikutan juga sama wiwi dan konco nya yg nge back up mana mungkin gak terlibat tarik semua jeblosin yg terlibat sign dan approval kan pasti melalui ente yg kagak aja lah giliran suruh ganti uang kelojotan pejabat konoha yg korupsi enaknya kita lelepin ke sumur sampe mati,makanya jangan korupsi kan ente ikut sama wiwi konco nge back mana mungkin libat tarik semua jeblosin libat sign approval kan lalu ente kagak lah gilir suruh ganti uang kelojot jabat konoha korupsi enak lelepin sumur sampe mati,38,1,0.6075,1,0.0038,0.6075,0.3811,0.0038,0.0038
132,"Ngeriiii bos... beginilah dibirokrasi, banyak nadiem nadiem lain yg dibginikan di birokrasi. Mmg parah... semoga makin baik. 
Bangkit Indonesiaku",ngeriiii bos beginilah dibirokrasi banyak nadiem nadiem lain yg dibginikan di birokrasi mmg parah semoga makin baik bangkit indonesiaku,ngeri bos begini birokrasi banyak nadiem nadiem dibginikan birokrasi mmg parah moga makin baik bangkit indonesia,16,3,0.6,5,0.3037,0.0815,0.0074,0.6,0.0074
133,Politik adu domba,politik adu domba,politik adu domba,3,4,0.7333,45,0.0667,0.0667,0.0667,0.0667,0.7333
134,Apes awakmu nadiem seng sabar ya awakmu org bener kok,apes awakmu nadiem seng sabar ya awakmu org bener kok,apes awak nadiem seng sabar awak orang bener kok,9,4,0.5636,37,0.3818,0.0182,0.0182,0.0182,0.5636
135,"Sabar pak 
Jika anda terzolimi 
Biar waktu yg mnjwab 
Dan mereka tidak akan hidup abadi 

Semua ada tanggung jwab diakhirat",sabar pak jika anda terzolimi biar waktu yg mnjwab dan mereka tidak akan hidup abadi semua ada tanggung jwab diakhirat,sabar pak terzolimi biar waktu mnjwab hidup abadi semua tanggung jwab akhirat,12,0,0.9529,34,0.9529,0.0118,0.0118,0.0118,0.0118
136,Hukum di Indonesia sangat amburadul,hukum di indonesia sangat amburadul,hukum indonesia sangat amburadul,4,3,0.9111,38,0.0222,0.0222,0.0222,0.9111,0.0222
137,Uangnya di di titipkn kepada pembantu😢😢😢,uangnya di di titipkn kepada pembantu,uang titipkn bantu,3,0,0.44,29,0.44,0.04,0.04,0.44,0.04
138,Kata prabowo hidup jokowi,kata prabowo hidup jokowi,kata prabowo hidup jokowi,4,2,0.6,41,0.0286,0.0286,0.6,0.3143,0.0286
139,ini lah konoha ..,ini lah konoha,lah konoha,2,1,0.84,8,0.04,0.84,0.04,0.04,0.04
140,"Karma tidak bisa di wakilkan 
Semua ada saatnya bang...
Ke Adilan pasti datang",karma tidak bisa di wakilkan semua ada saatnya bang ke adilan pasti datang,karma wakil semua bang adil datang,6,0,0.7846,34,0.7846,0.0154,0.0154,0.0154,0.1692
141,"Ini adalah awal mula , pencetusnya demonstrasi besar-besaran. Buktikan saja",ini adalah awal mula pencetusnya demonstrasi besar besaran buktikan saja,awal mula cetus demonstrasi besar besar bukti,7,0,0.6889,16,0.6889,0.2444,0.0222,0.0222,0.0222
142,jelass serem banget Lo....penuntut umum itu bsk masuk neraka paleng pertama dan paleng dalam.......,jelass serem banget lo penuntut umum itu bsk masuk neraka paleng pertama dan paleng dalam,jelass rem tuntut umum bsk masuk neraka paleng pertama paleng,10,0,0.6308,10,0.6308,0.0154,0.0154,0.0154,0.3231
143,Yg zolim terhadap nya hidup nya biar seperti mumi,yg zolim terhadap nya hidup nya biar seperti mumi,zolim hidup biar mumi,4,0,0.8857,15,0.8857,0.0286,0.0286,0.0286,0.0286
144,Lah yg lain ko cuma 4 tahun..,lah yg lain ko cuma tahun,lah cuma tahun,3,1,0.6,9,0.0286,0.6,0.3143,0.0286,0.0286
145,Korban Jokowi,korban jokowi,korban jokowi,2,2,0.84,23,0.04,0.04,0.84,0.04,0.04
146,Klo ketua mbg wajar 15th,klo ketua mbg wajar th,klo ketua mbg wajar,4,2,0.8857,13,0.0286,0.0286,0.8857,0.0286,0.0286
147,NADIEM Didzalimi dan ditumbalkan jokowi,nadiem didzalimi dan ditumbalkan jokowi,nadiem didzalimi tumbal jokowi,4,4,0.6,40,0.3143,0.0286,0.0286,0.0286,0.6
148,"Suaminya Sandra dewi ngak begitu cara mengadili nya.... Kenapa di bedakan, korupsi timah merugikan negara 300T,, kenapa tdk mendapat hukuman yg lebih sulit,,, aneh prabowo ini ,, 😢😢",suaminya sandra dewi ngak begitu cara mengadili nya kenapa di bedakan korupsi timah merugikan negara t kenapa tdk mendapat hukuman yg lebih sulit aneh prabowo ini,suami sandra dewi cara adil beda korupsi timah rugi negara hukum lebih sulit aneh prabowo,15,2,0.581,31,0.0095,0.2,0.581,0.2,0.0095
149,jokowi mana jokowi,jokowi mana jokowi,jokowi mana jokowi,3,2,0.6,18,0.0286,0.3143,0.6,0.0286,0.0286
150,"Bener2 lu jdi CEO gojek...malah lu lepas... Aduhhh anak negeri pada gila jabatan.. KLO GX PNS GX keren..wkakkwkw..

Lu tuntun balik Jokowi.. minta tanggung jawab sama atasan lu dlu.. kambing hitam Jokowi. Jokowi kaya raya.. GX ada yg berani mengkorek hasil kekayaannya",bener lu jdi ceo gojek malah lu lepas aduhhh anak negeri pada gila jabatan klo gx pns gx keren wkakkwkw lu tuntun balik jokowi minta tanggung jawab sama atasan lu dlu kambing hitam jokowi jokowi kaya raya gx ada yg berani mengkorek hasil kekayaannya,bener jadi ceo gojek malah lepas aduhh anak negeri gila jabat klo pns keren wkakkwkw tuntun balik jokowi minta tanggung jawab sama atas dlu kambing hitam jokowi jokowi kaya raya berani korek hasil kaya,34,4,0.3895,7,0.1789,0.3193,0.0035,0.1088,0.3895
151,"Parah orNg yg bner dipenjara tanpa bukti ,silver yg Uda jls"" slh bebas",parah orng yg bner dipenjara tanpa bukti silver yg uda jls slh bebas,parah orng bner penjara bukti silver uda jls slh bebas,10,1,0.4133,16,0.0133,0.4133,0.28,0.28,0.0133
152,😢😢 semoga kebenaran terungkap,semoga kebenaran terungkap,moga benar ungkap,3,0,0.8857,32,0.8857,0.0286,0.0286,0.0286,0.0286
153,15 tahun penjara yach total,tahun penjara yach total,tahun penjara yach total,4,2,0.9111,17,0.0222,0.0222,0.9111,0.0222,0.0222
154,"Trus kalau uang pengganti d bayar... Akan, d bawa kmn...??? 😅😅😅😅",trus kalau uang pengganti d bayar akan d bawa kmn,trus kalau uang ganti bayar bawa kmn,7,2,0.6308,29,0.0154,0.3231,0.6308,0.0154,0.0154
155,Tau gitu pa Nadiem ga usah ikut jadi menterinya.......,tau gitu pa nadiem ga usah ikut jadi menterinya,tahu gitu nadiem usah ikut jadi menteri,7,4,0.68,4,0.1467,0.0133,0.1467,0.0133,0.68
156,Nadiem juga banyak dosa kebijakan yg buat Indonesia pendidikannya ancur sampai saat ini... nodo amat ma korupsi nya,nadiem juga banyak dosa kebijakan yg buat indonesia pendidikannya ancur sampai saat ini nodo amat ma korupsi nya,nadiem banyak dosa bijak buat indonesia didik ancur nodo korupsi,10,2,0.4824,3,0.0118,0.0118,0.4824,0.4824,0.0118
157,Makanya terang2 Ngan aja mang,makanya terang ngan aja mang,makanya terang ngan mang,4,1,0.8857,45,0.0286,0.8857,0.0286,0.0286,0.0286
158,Doa 200 juta rakyat ini akan segera terkabul untuk negara dzolim ini😢,doa juta rakyat ini akan segera terkabul untuk negara dzolim ini,doa juta rakyat segera kabul negara dzolim,7,3,0.6308,27,0.3231,0.0154,0.0154,0.6308,0.0154
159,Zolim sekali..😢 tidak sesuai,zolim sekali tidak sesuai,zolim sekali sesuai,3,0,0.6,15,0.6,0.0286,0.0286,0.3143,0.0286
160,"Sampai detik ini masih belum ada tr4gedi apa apa.
Klo diluar mungkin 70% sudah m*ti itu pej4b4t2.
Kok ada ya rakyat sesabar ini 🤣",sampai detik ini masih belum ada tr gedi apa apa klo diluar mungkin sudah m ti itu pej b t kok ada ya rakyat sesabar ini,detik gedi apa apa klo luar mungkin pej kok rakyat sabar,11,1,0.5368,13,0.0105,0.5368,0.2211,0.0105,0.2211
161,"Perlu dicatat, dia pemilik dan pendiri ""raks4sa"" goj3k.
Dan para pej4b4d bej4d berusaha mengakuisisi dan m3r4mp4s itu dari sang pemilik.
Salah satunya dgn cara ini",perlu dicatat dia pemilik dan pendiri raks sa goj k dan para pej b d bej d berusaha mengakuisisi dan m r mp s itu dari sang pemilik salah satunya dgn cara ini,perlu catat milik diri raks goj pej bej usaha akuisisi sang milik salah satu cara,15,4,0.6762,25,0.0095,0.2952,0.0095,0.0095,0.6762
162,"Yaa Allah.. Pengadilan jahat.. Indonesia semakin amburadul.. Anak bangsa berbakat ternyata dijadikan tumbal.. 
Rakyat kesal... Sementara para pejabat  ber dasi putih di birokrasi..mencuri dng mudah nya .. Tampa merasa bersalah.. 
Indonesia sarang korupsi yg menuduh anak bawang menjadi tumbal.. 
Rakyat menanti keadilan",yaa allah pengadilan jahat indonesia semakin amburadul anak bangsa berbakat ternyata dijadikan tumbal rakyat kesal sementara para pejabat ber dasi putih di birokrasi mencuri dng mudah nya tampa merasa bersalah indonesia sarang korupsi yg menuduh anak bawang menjadi tumbal rakyat menanti keadilan,yaa allah adil jahat indonesia makin amburadul anak bangsa bakat nyata jadi tumbal rakyat kesal jabat ber dasi putih birokrasi curi dng mudah tampa rasa salah indonesia sarang korupsi tuduh anak bawang jadi tumbal rakyat adil,36,3,0.5119,7,0.139,0.0373,0.0034,0.5119,0.3085
163,"Salahnyabkenapa dulu mao maoann ajah di kasih jabatan mentri sama jokowi...ternyata cuman cari masa karna punya masa gojek...ujungnya hanya dibjadikan tumbal kekuasaan sama jokowi...sekarang liat apa pembelaan jokowi buat nadim...
Andai ajah waktubitu tetap di gojek mungkin ga akan seperti sekarang...",salahnyabkenapa dulu mao maoann ajah di kasih jabatan mentri sama jokowi ternyata cuman cari masa karna punya masa gojek ujungnya hanya dibjadikan tumbal kekuasaan sama jokowi sekarang liat apa pembelaan jokowi buat nadim andai ajah waktubitu tetap di gojek mungkin ga akan seperti sekarang,salahnyabkenapa dulu mao maoann ajah kasih jabat tri sama jokowi nyata cuman cari masa punya masa gojek ujung dibjadikan tumbal kuasa sama jokowi sekarang liat apa bela jokowi buat nadim andai ajah waktubitu tetap gojek mungkin sekarang,37,4,0.3763,36,0.139,0.3085,0.1729,0.0034,0.3763
164,dzolim.. siap² menuju kehancuran suatu negara,dzolim siap menuju kehancuran suatu negara,dzolim siap tuju hancur suatu negara,6,3,0.6308,42,0.0154,0.0154,0.0154,0.6308,0.3231
165,Mukanya memang jujur Allahu Akbar,mukanya memang jujur allahu akbar,muka memang jujur allahu akbar,5,3,0.4667,6,0.0222,0.0222,0.0222,0.4667,0.4667
166,Kalo orang itu benar tidak korupsi maka Belio tidak akan kena hukuman.,kalo orang itu benar tidak korupsi maka belio tidak akan kena hukuman,kalo orang benar korupsi belio kena hukum,7,0,0.7846,31,0.7846,0.1692,0.0154,0.0154,0.0154
167,Kacau banget negara ini. Penegak hukumnya main2in hukum.,kacau banget negara ini penegak hukumnya main in hukum,kacau negara tegak hukum main hukum,6,3,0.9385,38,0.0154,0.0154,0.0154,0.9385,0.0154
168,Penasaran Dadan di vonis brp dan ganti rugi brp...,penasaran dadan di vonis brp dan ganti rugi brp,penasaran dad vonis brp ganti rugi brp,7,2,0.9111,14,0.0222,0.0222,0.9111,0.0222,0.0222
169,Jangan kasih ke Perampok,jangan kasih ke perampok,jangan kasih rampok,3,0,0.3143,20,0.3143,0.3143,0.0286,0.0286,0.3143
170,"Jika bapak nadirmin merasa yakin tdk salah.. Serahkan sama Tuhan saja pak... Pasti mereka akan Terima hukuman yang dari Tuhan... Saya yakin pak.. Bapak tdk sejahat itu.. Sy do'akan ya pak.. Siapa yg lebih dulu dijemput malaikat maut.. 
Saksikan saja pak.. GBU.. ❤❤❤❤❤❤❤❤❤❤",jika bapak nadirmin merasa yakin tdk salah serahkan sama tuhan saja pak pasti mereka akan terima hukuman yang dari tuhan saya yakin pak bapak tdk sejahat itu sy do akan ya pak siapa yg lebih dulu dijemput malaikat maut saksikan saja pak gbu,bapak nadirmin rasa yakin salah serah sama tuhan pak terima hukum tuhan yakin pak bapak jahat pak siapa lebih dulu jemput malaikat maut saksi pak gbu,26,0,0.6426,12,0.6426,0.2596,0.0468,0.0043,0.0468
171,"Gilaa...!!! Astagfirulloh....
Kasian jadi TUMBAL Pak Nadiem Makarim..., di ZHOLIMI... Yaa Alloh..Astagfirulloh...
Uang Pengganti kok
809 Milyard.....??!!  
Cari uang seratus ribu aja susaaahhh..., yg Pengangguran seperti saya...",gilaa astagfirulloh kasian jadi tumbal pak nadiem makarim di zholimi yaa alloh astagfirulloh uang pengganti kok milyard cari uang seratus ribu aja susaaahhh yg pengangguran seperti saya,gilaa astagfirulloh kasi jadi tumbal pak nadiem makarim zholimi yaa alloh astagfirulloh uang ganti kok milyard cari uang ratus ribu susaahh anggur,22,4,0.4378,4,0.0054,0.1676,0.3838,0.0054,0.4378
172,Alhamdulillah semoga kedepan indonesia terbebas dari para koruptor... Dan pak nadim moga cept bertaubat contohlah angelina sondak..,alhamdulillah semoga kedepan indonesia terbebas dari para koruptor dan pak nadim moga cept bertaubat contohlah angelina sondak,alhamdulillah moga depan indonesia bebas koruptor pak nadim moga cept taubat contoh angelina sondak,14,0,0.3565,26,0.3565,0.3565,0.0087,0.2696,0.0087
